lab.id,site,unique.id,moisture.trt,temp.trt,moisturePercent.gwc,total.dwe.added,cumulativeCO2Flux,Latitude,Longitude,MAT_c,MAP_mm,Elevation_m
1,BART,BART_S_T0_P02,20,15,62.33846894,1.260165314,1.62875882,44.06388,-71.28731,6.2,1325,232
2,BART,BART_S_T0_P08,20,15,65.80955796,1.303694634,4.313619312,44.06388,-71.28731,6.2,1325,232
3,BART,BART_S_T0_P11,20,15,46.98405036,1.248469139,2.435410114,44.06388,-71.28731,6.2,1325,232
4,GRSM,GRSM_S_T0_P20,20,15,32.57625565,1.252720244,3.356645741,35.68896,-83.50195,13.1,1375,579
5,GRSM,GRSM_S_T0_P25,20,15,40.36513191,1.237621891,1.950082281,35.68896,-83.50195,13.1,1375,579
6,GRSM,GRSM_S_T0_P27,20,15,29.47060356,1.248704343,1.398518777,35.68896,-83.50195,13.1,1375,579
7,LENO,LENO_S_T0_P15,20,15,27.17078109,1.246261691,2.412134719,31.85388,-88.16122,18.1,1386,20
8,LENO,LENO_S_T0_P31,20,15,34.46846645,1.244371945,0.897712458,31.85388,-88.16122,18.1,1386,20
9,LENO,LENO_S_T0_P36,20,15,25.34191314,1.238775742,1.89040648,31.85388,-88.16122,18.1,1386,20
10,SERC,SERC_S_T0_P10,20,15,25.26739853,1.257609841,2.170417395,38.89008,-76.56001,13.6,1075,15
11,SERC,SERC_S_T0_P20,20,15,24.55320429,1.248525015,2.290522895,38.89008,-76.56001,13.6,1075,15
12,SERC,SERC_S_T0_P28,20,15,36.15461317,1.251053994,1.740750571,38.89008,-76.56001,13.6,1075,15
13,TALL,TALL_S_T0_P23,20,15,15.47117654,1.264389396,1.524178951,32.95046,-87.39327,17.2,1383,135
14,TALL,TALL_S_T0_P27,20,15,19.36135701,1.25312066,1.867127626,32.95046,-87.39327,17.2,1383,135
15,TALL,TALL_S_T0_P32,20,15,15.10989011,1.256040946,1.345199701,32.95046,-87.39327,17.2,1383,135
16,TREE,TREE_S_T0_P13,20,15,36.94961599,1.257360381,0.827382264,45.49369,-89.58571,4.8,797,472
17,TREE,TREE_S_T0_P19,20,15,23.23692552,1.250851496,2.212671044,45.49369,-89.58571,4.8,797,472
18,TREE,TREE_S_T0_P34,20,15,15.7744852,1.253710548,2.730193803,45.49369,-89.58571,4.8,797,472
19,BART,BART_S_T0_P02,40,15,62.33846894,1.2726187,17.56050591,44.06388,-71.28731,6.2,1325,232
20,BART,BART_S_T0_P08,40,15,65.80955796,1.251206094,21.29333786,44.06388,-71.28731,6.2,1325,232
21,BART,BART_S_T0_P11,40,15,46.98405036,1.261708061,17.69909606,44.06388,-71.28731,6.2,1325,232
22,GRSM,GRSM_S_T0_P20,40,15,32.57625565,1.279517996,16.90076391,35.68896,-83.50195,13.1,1375,579
23,GRSM,GRSM_S_T0_P25,40,15,40.36513191,1.245389609,16.3729365,35.68896,-83.50195,13.1,1375,579
24,GRSM,GRSM_S_T0_P27,40,15,29.47060356,1.239830051,16.34105816,35.68896,-83.50195,13.1,1375,579
25,LENO,LENO_S_T0_P15,40,15,27.17078109,1.251620091,16.60201626,31.85388,-88.16122,18.1,1386,20
26,LENO,LENO_S_T0_P31,40,15,34.46846645,1.254662315,17.6361048,31.85388,-88.16122,18.1,1386,20
27,LENO,LENO_S_T0_P36,40,15,25.34191314,1.264587687,13.61304391,31.85388,-88.16122,18.1,1386,20
28,SERC,SERC_S_T0_P10,40,15,25.26739853,1.253712061,13.79630231,38.89008,-76.56001,13.6,1075,15
29,SERC,SERC_S_T0_P20,40,15,24.55320429,1.243933672,17.00022844,38.89008,-76.56001,13.6,1075,15
30,SERC,SERC_S_T0_P28,40,15,36.15461317,1.263053656,19.7717801,38.89008,-76.56001,13.6,1075,15
31,TALL,TALL_S_T0_P23,40,15,15.47117654,1.255814046,12.3923169,32.95046,-87.39327,17.2,1383,135
32,TALL,TALL_S_T0_P27,40,15,19.36135701,1.264926033,11.7889716,32.95046,-87.39327,17.2,1383,135
33,TALL,TALL_S_T0_P32,40,15,15.10989011,1.244045678,11.96684251,32.95046,-87.39327,17.2,1383,135
34,TREE,TREE_S_T0_P13,40,15,36.94961599,1.258392336,17.33134995,45.49369,-89.58571,4.8,797,472
35,TREE,TREE_S_T0_P19,40,15,23.23692552,1.24703806,14.89839116,45.49369,-89.58571,4.8,797,472
36,TREE,TREE_S_T0_P34,40,15,15.7744852,1.26001291,16.59830004,45.49369,-89.58571,4.8,797,472
37,BART,BART_S_T0_P02,60,15,62.33846894,1.268065941,35.09587846,44.06388,-71.28731,6.2,1325,232
38,BART,BART_S_T0_P08,60,15,65.80955796,1.261030565,28.21966563,44.06388,-71.28731,6.2,1325,232
39,BART,BART_S_T0_P11,60,15,46.98405036,1.261514964,27.75344282,44.06388,-71.28731,6.2,1325,232
40,GRSM,GRSM_S_T0_P20,60,15,32.57625565,1.275656529,27.39775218,35.68896,-83.50195,13.1,1375,579
41,GRSM,GRSM_S_T0_P25,60,15,40.36513191,1.242663213,23.89027708,35.68896,-83.50195,13.1,1375,579
42,GRSM,GRSM_S_T0_P27,60,15,29.47060356,1.259654576,23.88978392,35.68896,-83.50195,13.1,1375,579
43,LENO,LENO_S_T0_P15,60,15,27.17078109,1.256666882,24.65016323,31.85388,-88.16122,18.1,1386,20
44,LENO,LENO_S_T0_P31,60,15,34.46846645,1.25647355,24.51123542,31.85388,-88.16122,18.1,1386,20
45,LENO,LENO_S_T0_P36,60,15,25.34191314,1.286056691,21.37038559,31.85388,-88.16122,18.1,1386,20
46,SERC,SERC_S_T0_P10,60,15,25.26739853,1.261549899,24.31281883,38.89008,-76.56001,13.6,1075,15
47,SERC,SERC_S_T0_P20,60,15,24.55320429,1.268455608,24.05152476,38.89008,-76.56001,13.6,1075,15
48,SERC,SERC_S_T0_P28,60,15,36.15461317,1.250862719,22.4610555,38.89008,-76.56001,13.6,1075,15
49,TALL,TALL_S_T0_P23,60,15,15.47117654,1.25215081,21.82058403,32.95046,-87.39327,17.2,1383,135
50,TALL,TALL_S_T0_P27,60,15,19.36135701,1.246506321,19.91766284,32.95046,-87.39327,17.2,1383,135
51,TALL,TALL_S_T0_P32,60,15,15.10989011,1.251460237,17.82577002,32.95046,-87.39327,17.2,1383,135
52,TREE,TREE_S_T0_P13,60,15,36.94961599,1.252736669,27.09329507,45.49369,-89.58571,4.8,797,472
