lab.id,site,unique.id,moisture.trt,temp.trt,cumulativeCO2Flux,GWC,VWC,soil.pH,Latitude,Longitude,MAT_c,MAP_mm,Elevation_m
1,BART,BART_S_T0_P02,20,15,0.162875882,62.33846894,25.06666667,4.34,44.06388,-71.28731,6.2,1325,232
2,BART,BART_S_T0_P08,20,15,0.431361931,65.80955796,20.56666667,4.21,44.06388,-71.28731,6.2,1325,232
3,BART,BART_S_T0_P11,20,15,0.243541011,46.98405036,13.56666667,4.5,44.06388,-71.28731,6.2,1325,232
4,GRSM,GRSM_S_T0_P20,20,15,0.335664574,32.57625565,14.3,4.95,35.68896,-83.50195,13.1,1375,579
5,GRSM,GRSM_S_T0_P25,20,15,0.195008228,40.36513191,21.93333333,4.89,35.68896,-83.50195,13.1,1375,579
6,GRSM,GRSM_S_T0_P27,20,15,0.139851878,29.47060356,11.63333333,4.77,35.68896,-83.50195,13.1,1375,579
7,LENO,LENO_S_T0_P15,20,15,0.241213472,27.17078109,29.93333333,5.55,31.85388,-88.16122,18.1,1386,20
8,LENO,LENO_S_T0_P31,20,15,0.089771246,34.46846645,39.63333333,5.92,31.85388,-88.16122,18.1,1386,20
9,LENO,LENO_S_T0_P36,20,15,0.189040648,25.34191314,16.23333333,5.97,31.85388,-88.16122,18.1,1386,20
10,SERC,SERC_S_T0_P10,20,15,0.21704174,25.26739853,20.9,4.71,38.89008,-76.56001,13.6,1075,15
11,SERC,SERC_S_T0_P20,20,15,0.22905229,24.55320429,16.96666667,4.49,38.89008,-76.56001,13.6,1075,15
12,SERC,SERC_S_T0_P28,20,15,0.174075057,36.15461317,47.56666667,5.67,38.89008,-76.56001,13.6,1075,15
13,TALL,TALL_S_T0_P23,20,15,0.152417895,15.47117654,8.633333333,5.27,32.95046,-87.39327,17.2,1383,135
14,TALL,TALL_S_T0_P27,20,15,0.186712763,19.36135701,32.16666667,5.14,32.95046,-87.39327,17.2,1383,135
15,TALL,TALL_S_T0_P32,20,15,0.13451997,15.10989011,5.966666667,4.99,32.95046,-87.39327,17.2,1383,135
16,TREE,TREE_S_T0_P13,20,15,0.082738226,36.94961599,28.43333333,4.41,45.49369,-89.58571,4.8,797,472
17,TREE,TREE_S_T0_P19,20,15,0.221267104,23.23692552,9.6,4.81,45.49369,-89.58571,4.8,797,472
18,TREE,TREE_S_T0_P34,20,15,0.27301938,15.7744852,4.966666667,5.03,45.49369,-89.58571,4.8,797,472
19,BART,BART_S_T0_P02,40,15,1.756050591,62.33846894,25.06666667,4.34,44.06388,-71.28731,6.2,1325,232
20,BART,BART_S_T0_P08,40,15,2.129333786,65.80955796,20.56666667,4.21,44.06388,-71.28731,6.2,1325,232
21,BART,BART_S_T0_P11,40,15,1.769909606,46.98405036,13.56666667,4.5,44.06388,-71.28731,6.2,1325,232
22,GRSM,GRSM_S_T0_P20,40,15,1.690076391,32.57625565,14.3,4.95,35.68896,-83.50195,13.1,1375,579
23,GRSM,GRSM_S_T0_P25,40,15,1.63729365,40.36513191,21.93333333,4.89,35.68896,-83.50195,13.1,1375,579
24,GRSM,GRSM_S_T0_P27,40,15,1.634105816,29.47060356,11.63333333,4.77,35.68896,-83.50195,13.1,1375,579
25,LENO,LENO_S_T0_P15,40,15,1.660201626,27.17078109,29.93333333,5.55,31.85388,-88.16122,18.1,1386,20
26,LENO,LENO_S_T0_P31,40,15,1.76361048,34.46846645,39.63333333,5.92,31.85388,-88.16122,18.1,1386,20
27,LENO,LENO_S_T0_P36,40,15,1.361304391,25.34191314,16.23333333,5.97,31.85388,-88.16122,18.1,1386,20
28,SERC,SERC_S_T0_P10,40,15,1.379630231,25.26739853,20.9,4.71,38.89008,-76.56001,13.6,1075,15
29,SERC,SERC_S_T0_P20,40,15,1.700022844,24.55320429,16.96666667,4.49,38.89008,-76.56001,13.6,1075,15
