OID,site,plot,ANPP,MAT,MASM,CLAY,LIG,N,CN,fW,treatment,soilGWC,cum_LitterCMin,soilpH,sir,sir_mlC,microbialBiomassC_perg,microbialBiomassC
1,HARV,1,750,20,,15,21,1,49,0.35,35,70.09,57.07,4.38,13.20,0.025,1.36,0.34
2,HARV,1,750,20,55,15,21,1,49,0.6,60,70.09,95.98,4.38,13.20,0.025,1.36,0.34
3,HARV,1,750,20,,15,21,1,49,1,100,70.09,56.24,4.38,13.20,0.025,1.36,0.34
4,HARV,10,750,20,,15,21,1,49,0.35,35,47.23,44.01,3.99,9.75,0.018,1.10,0.28
5,HARV,10,750,20,55,15,21,1,49,0.6,60,47.23,57.53,3.99,9.75,0.018,1.10,0.28
6,HARV,10,750,20,,15,21,1,49,1,100,47.23,46.44,3.99,9.75,0.018,1.10,0.28
7,HARV,11,750,20,,15,21,1,49,0.35,35,37.78,48.27,4.34,8.84,0.017,1.03,0.26
8,HARV,11,750,20,55,15,21,1,49,0.6,60,37.78,54.64,4.34,8.84,0.017,1.03,0.26
9,HARV,11,750,20,,15,21,1,49,1,100,37.78,50.67,4.34,8.84,0.017,1.03,0.26
10,HARV,12,750,20,,15,21,1,49,0.35,35,43.67,46.71,4.29,8.70,0.016,1.02,0.26
11,HARV,12,750,20,55,15,21,1,49,0.6,60,43.67,55.87,4.29,8.70,0.016,1.02,0.26
12,HARV,12,750,20,,15,21,1,49,1,100,43.67,54.67,4.29,8.70,0.016,1.02,0.26
13,HARV,13,750,20,,15,21,1,49,0.35,35,37.87,44.67,4.52,7.56,0.014,0.94,0.23
14,HARV,13,750,20,55,15,21,1,49,0.6,60,37.87,67.51,4.52,7.56,0.014,0.94,0.23
15,HARV,13,750,20,,15,21,1,49,1,100,37.87,58.53,4.52,7.56,0.014,0.94,0.23
16,HARV,15,750,20,,15,21,1,49,0.35,35,53.53,47.41,4.13,7.89,0.015,0.96,0.24
