ID,SITE,MAT,ANPP,CLAY,LIG,N,CN,fW,CO2C_prop
11,BART,15,0,30,10,1,40,0.6,0.068769919
12,BART,25,0,30,10,1,40,0.6,0.107054297
21,GRSM,15,0,30,10,1,40,0.6,0.073156888
22,GRSM,25,0,30,10,1,40,0.6,0.114106054
31,LENO,15,0,30,10,1,40,0.6,0.065650269
32,LENO,25,0,30,10,1,40,0.6,0.120721743
41,SERC,15,0,30,10,1,40,0.6,0.062684698
42,SERC,25,0,30,10,1,40,0.6,0.109288093
51,TALL,15,0,30,10,1,40,0.6,0.062129584
52,TALL,25,0,30,10,1,40,0.6,0.110752987
61,TREE,15,0,30,10,1,40,0.6,0.073258995
62,TREE,25,0,30,10,1,40,0.6,0.115822154
