ID,SITE,MAT,ANPP,CLAY,LIG,N,CN,GWC_site,WHC,soilGWC,CO2C_tot,CO2C_prop
37,2,15,0,3.3,10,0.8,61,0.623,60,24.51,35.1,0.079832809
397,3,15,0,3.3,10,0.8,61,0.674,60,24.51,35.5,0.078529053
38,8,15,0,3.3,10,0.8,61,0.658,60,24.51,28.2,0.059205524
39,11,15,0,3.3,10,0.8,61,0.47,60,24.51,27.8,0.067179497
577,17,15,0,3.3,10,0.8,61,0.621,60,24.51,24.6,0.055811959
398,20,15,0,3.3,10,0.8,61,0.491,60,24.51,28.2,0.065572342
399,21,15,0,3.3,10,0.8,61,0.544,60,24.51,33.44,0.077379055
217,22,15,0,3.3,10,0.8,61,0.466,60,24.51,28.6,0.067634572
218,23,15,0,3.3,10,0.8,61,0.591,60,24.51,32.7,0.074194221
219,26,15,0,3.3,10,0.8,61,0.656,60,24.51,32.2,0.075957453
578,30,15,0,3.3,10,0.8,61,0.51,60,24.51,33.8,0.075018971
579,32,15,0,3.3,10,0.8,61,0.376,60,24.51,31.2,0.072357393
37,2,15,0,3.3,10,0.8,61,0.623,20,8.48,1.62875882,0.003704513
397,3,15,0,3.3,10,0.8,61,0.674,20,8.48,6.095316411,0.013483364
38,8,15,0,3.3,10,0.8,61,0.658,20,8.48,4.313619312,0.009056386
39,11,15,0,3.3,10,0.8,61,0.47,20,8.48,2.435410114,0.005885238
577,17,15,0,3.3,10,0.8,61,0.621,20,8.48,9.243294901,0.020970992
398,20,15,0,3.3,10,0.8,61,0.491,20,8.48,5.267867012,0.012249162
399,21,15,0,3.3,10,0.8,61,0.544,20,8.48,3.5153542,0.008134413
217,22,15,0,3.3,10,0.8,61,0.466,20,8.48,3.105836994,0.007344824
218,23,15,0,3.3,10,0.8,61,0.591,20,8.48,0.683123041,0.001549963
219,26,15,0,3.3,10,0.8,61,0.656,20,8.48,0.713878955,0.001683988
578,30,15,0,3.3,10,0.8,61,0.51,20,8.48,6.030527101,0.013384732
579,32,15,0,3.3,10,0.8,61,0.376,20,8.48,5.408721254,0.012543621
37,2,15,0,3.3,10,0.8,61,0.623,40,16.49,17.56050591,0.0399403
397,3,15,0,3.3,10,0.8,61,0.674,40,16.49,23.51342847,0.052013726
38,8,15,0,3.3,10,0.8,61,0.658,40,16.49,21.29333786,0.044705079
39,11,15,0,3.3,10,0.8,61,0.47,40,16.49,17.69909606,0.042770373
577,17,15,0,3.3,10,0.8,61,0.621,40,16.49,21.16525126,0.048019274
398,20,15,0,3.3,10,0.8,61,0.491,40,16.49,25.36817541,0.058987612
399,21,15,0,3.3,10,0.8,61,0.544,40,16.49,25.38228369,0.058733765
217,22,15,0,3.3,10,0.8,61,0.466,40,16.49,19.23911872,0.045497537
218,23,15,0,3.3,10,0.8,61,0.591,40,16.49,23.39926766,0.05309145
219,26,15,0,3.3,10,0.8,61,0.656,40,16.49,23.46671679,0.055356275
578,30,15,0,3.3,10,0.8,61,0.51,40,16.49,18.28929,0.040593009
579,32,15,0,3.3,10,0.8,61,0.376,40,16.49,20.4509811,0.047428836
37,2,15,0,3.3,10,0.8,61,0.623,80,32.52,16.74652961,0.03808896
397,3,15,0,3.3,10,0.8,61,0.674,80,32.52,35.47057062,0.078463953
38,8,15,0,3.3,10,0.8,61,0.658,80,32.52,28.26609242,0.059344285
39,11,15,0,3.3,10,0.8,61,0.47,80,32.52,28.8918525,0.06981799
577,17,15,0,3.3,10,0.8,61,0.621,80,32.52,30.58375411,0.069387774
398,20,15,0,3.3,10,0.8,61,0.491,80,32.52,37.22903542,0.0865672
399,21,15,0,3.3,10,0.8,61,0.544,80,32.52,31.36884565,0.072586472
217,22,15,0,3.3,10,0.8,61,0.466,80,32.52,26.93562551,0.063698584
218,23,15,0,3.3,10,0.8,61,0.591,80,32.52,31.8933139,0.072363901
219,26,15,0,3.3,10,0.8,61,0.656,80,32.52,32.06237617,0.075632809
578,30,15,0,3.3,10,0.8,61,0.51,80,32.52,32.75981377,0.072710281
579,32,15,0,3.3,10,0.8,61,0.376,80,32.52,31.06005053,0.07203283
37,2,15,0,3.3,10,0.8,61,0.623,100,40.53,24.34805661,0.05537817
397,3,15,0,3.3,10,0.8,61,0.674,100,40.53,38.25703608,0.084627854
38,8,15,0,3.3,10,0.8,61,0.658,100,40.53,30.70818504,0.064471425
39,11,15,0,3.3,10,0.8,61,0.47,100,40.53,27.5669802,0.066616398
577,17,15,0,3.3,10,0.8,61,0.621,100,40.53,30.81644059,0.069915688
398,20,15,0,3.3,10,0.8,61,0.491,100,40.53,31.45344683,0.073137453
399,21,15,0,3.3,10,0.8,61,0.544,100,40.53,31.96745202,0.073971627
217,22,15,0,3.3,10,0.8,61,0.466,100,40.53,23.81791448,0.05632568
218,23,15,0,3.3,10,0.8,61,0.591,100,40.53,29.14603688,0.066130504
219,26,15,0,3.3,10,0.8,61,0.656,100,40.53,33.47992043,0.078976692
578,30,15,0,3.3,10,0.8,61,0.51,100,40.53,27.97141876,0.062082457
579,32,15,0,3.3,10,0.8,61,0.376,100,40.53,30.20784728,0.070056445
