site,TBOT,PRECTmms,sim_GPP
BART,7.7,1213.0,1127.0
HARV,8.5,1405.0,1153.0
BLAN,13.1,1299.0,1400.0
SCBI,13.0,1159.0,1458.0
SERC,14.3,1193.0,1411.0
DSNY,22.6,1370.0,2808.0
JERC,20.0,1416.0,2674.0
OSBS,21.3,1419.0,2650.0
GUAN,26.3,558.0,622.0
LAJA,25.5,983.0,2786.0
STEI,5.7,660.0,1109.0
TREE,5.8,511.0,922.0
UNDE,5.1,784.0,1035.0
KONA,13.3,770.0,854.0
KONZ,12.9,617.0,1158.0
UKFS,12.9,947.0,1272.0
GRSM,14.5,1170.0,1620.0
MLBS,9.6,1754.0,1248.0
ORNL,15.3,1397.0,1479.0
DELA,18.6,1351.0,1453.0
LENO,18.6,1272.0,1657.0
TALL,18.1,1329.0,2520.0
DCFS,4.9,389.0,711.0
NOGP,6.1,120.0,56.0
WOOD,4.9,403.0,524.0
CPER,9.5,827.0,856.0
RMNP,5.1,320.0,497.0
STER,9.8,182.0,302.0
CLBJ,17.7,835.0,1281.0
OAES,15.7,1264.0,820.0
YELL,2.4,521.0,749.0
MOAB,11.6,137.0,173.0
JORN,16.9,131.0,239.0
SRER,20.4,329.0,360.0
ONAQ,10.5,238.0,300.0
ABBY,10.1,2043.0,1906.0
WREF,10.0,1885.0,1966.0
SJER,18.5,663.0,1069.0
SOAP,14.9,610.0,1771.0
TEAK,9.6,216.0,967.0
TOOL,-5.6,483.0,380.0
BARR,-8.7,28.0,262.0
BONA,-1.7,395.0,893.0
DEJU,-0.7,216.0,816.0
HEAL,-0.6,208.0,964.0
